actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.06908771395683289,0.0
-0.0718885213136673,0.0
-0.07375572621822357,0.0
-0.07562292367219925,0.0
-0.08231135457754135,0.0
-0.08627808094024658,0.0
-0.0882614403963089,0.0
-0.09123647958040237,0.0
-0.09520316869020462,0.0
-0.09851530194282532,0.0
-0.10249559581279755,0.0
-0.10747094452381134,0.0
-0.11344131827354431,0.0
-0.11841660737991333,0.0
-0.12584461271762848,0.0
-0.13289155066013336,0.0
-0.13993841409683228,0.0
-0.14597854018211365,0.0
-0.15403196215629578,0.0
-0.16309194266796112,0.0
-0.15489612519741058,0.0
-0.16214215755462646,0.0
-0.16938813030719757,0.0
-0.17663399875164032,0.0
-0.1838797926902771,0.0
-0.19743956625461578,0.0
-0.20496012270450592,0.0
-0.2124805897474289,0.0
-0.21812087297439575,0.0
-0.22470109164714813,0.0
-0.22390331327915192,0.0
-0.22936350107192993,0.0
-0.23573365807533264,0.0
-0.24119369685649872,0.0
-0.24574369192123413,0.0
-0.26237788796424866,0.0
-0.2671300768852234,0.0
-0.27093181014060974,0.0
-0.2756839096546173,0.0
-0.2794855535030365,0.0
-0.2832871675491333,0.0
-0.311274915933609,0.0
-0.3153965175151825,0.0
-0.3184877038002014,0.0
-0.3195180892944336,0.0
-0.3195180892944336,0.0
-0.26082804799079895,0.0
-0.26082804799079895,0.0
-0.26082804799079895,0.0
-0.26082804799079895,0.0
-0.26082804799079895,0.0
-0.24041633307933807,0.0
-0.24041633307933807,0.0
-0.2396358996629715,0.0
-0.23807501792907715,0.0
-0.23729458451271057,0.0
-0.30644071102142334,0.0
-0.3033873438835144,0.0
-0.1999959945678711,0.0
-0.19796237349510193,0.0
-0.19525088369846344,0.0
-0.19321726262569427,0.0
-0.18482241034507751,0.0
-0.18221034109592438,0.0
-0.18025128543376923,0.0
-0.17829221487045288,0.0
-0.17502710223197937,0.0
-0.14439891278743744,0.0
-0.14330504834651947,0.0
-0.14057038724422455,0.0
-0.13947650790214539,0.0
-0.13783571124076843,0.0
-0.1481766253709793,0.0
-0.14698652923107147,0.0
-0.14639148116111755,0.0
-0.14579643309116364,0.0
-0.1446063369512558,0.0
-0.13512052595615387,0.0
-0.13456450402736664,0.0
-0.13456450402736664,0.0
-0.13512052595615387,0.0
-0.1356765478849411,0.0
